geneID,A_1_R1,A_1_R2,A_1_R3,A_1_R4,A_1_R5,A_308_R1,A_308_R2,A_308_R3,A_308_R4,A_308_R5,E_1_R1,E_1_R2,E_1_R4,E_1_R5,E_1_R6,E_1_R7,E_1_R8,E_1_R9,E_308_R1,E_308_R2,E_308_R3,E_308_R4,E_308_R6,E_308_R7,E_308_R8
ENSMUSG00000000001,66.89018615,71.18889561,64.62877169,70.94656931,70.16972278,73.34637631,78.2749438,72.66347863,72.36869125,74.5867237,52.04557798,72.4516431,52.17867344,43.16911952,90.87102994,86.20461281,64.60795347,40.63416338,43.62678551,46.28733854,72.06138996,50.55246626,89.31293205,75.6861254,65.46571576
ENSMUSG00000000031,11.79726486,12.24934472,12.40851784,13.15358279,11.8267937,64.52087348,59.92514529,56.85562451,59.208141,66.46161931,0,0,0,0,0,0.324760756,0,0,0,0.023810224,0.022911711,0,0,0,0
ENSMUSG00000000078,35.39122336,31.59093513,46.35129839,29.93344692,33.81858965,26.03661053,27.1284818,31.29799304,28.97956211,27.64401238,49.5664827,24.58087782,42.14583159,52.93150825,21.10167174,23.30631905,43.74489909,20.66543939,42.07801552,39.22534836,27.18791502,22.27532324,29.86942583,30.81898713,27.31434452
ENSMUSG00000000088,85.74111383,108.3907234,90.30081499,97.61055938,89.83039254,106.8491868,105.5464745,95.89383614,110.143193,104.9773895,70.0576226,102.9993707,88.28199575,111.4945906,128.1827755,127.9548691,113.2286245,131.1996864,134.7606907,119.1153049,92.15169741,95.29641548,190.9557301,98.07329528,123.4329849
ENSMUSG00000000127,32.62354575,32.06168247,32.92458853,32.1848544,30.67785744,23.19971736,25.57057439,25.63157749,25.29622166,24.60886077,25.7902334,17.07389811,21.42766197,18.32914728,15.71542326,16.8779753,15.33573003,15.20448868,18.12051696,18.69227664,21.20817018,23.03320406,22.13186748,24.23713019,13.0989317
ENSMUSG00000000131,18.47799364,19.16335433,17.2943957,19.0644567,18.21470447,20.03073114,23.1109809,21.5964469,22.68184578,21.64881264,22.58766801,14.32190862,19.31175565,28.45019087,16.16328054,14.49278413,21.04705294,26.26287044,27.35908748,23.68600185,16.55245331,17.76446555,18.5181642,18.14375221,10.9599173
ENSMUSG00000000171,89.81580145,96.62420172,88.43629164,95.07542988,93.95749757,105.7494481,102.2040313,91.27005593,102.5870041,96.75219305,72.11335004,91.39381956,76.63061458,63.76069825,90.10682282,101.1702255,94.41826127,71.847755,73.80081579,72.78502467,96.85725426,70.58280392,129.7362777,93.69756959,125.781699
ENSMUSG00000000184,33.57577651,33.779056,32.91965972,31.40222125,32.93711594,33.49873943,35.49688243,36.29131979,33.75568221,35.53066167,46.91018412,32.36857426,38.50528561,67.40328124,23.0771657,19.42330751,55.80344598,53.12217676,59.05019975,50.24837704,19.54115332,38.06839966,23.48077695,25.43441045,11.97260383
ENSMUSG00000000278,126.3609547,123.5028353,121.3409861,123.850858,131.7669956,147.5565953,150.2918718,157.911235,149.9367567,152.0812591,150.5547432,225.5704342,199.4003032,132.2569356,155.3797743,127.1243762,209.0489337,172.1518382,118.7682388,125.0310637,126.8317572,144.5349626,109.7791677,127.4014116,122.9294332
ENSMUSG00000000282,15.78079464,15.28526075,17.99024425,13.85934116,14.69710829,12.63704175,13.03468157,13.74847413,12.46834015,13.72295269,17.58378778,11.36180801,18.13402455,13.91860575,9.42891001,8.759037619,13.09805756,19.63828502,11.6281506,10.50656487,14.434827,20.26404729,6.195166689,12.24439903,10.96310638
